system:time_start,sst
"Sep 17, 2017",27.855
"Sep 18, 2017",
"Sep 19, 2017",27.78
"Sep 20, 2017",
"Sep 21, 2017",
"Sep 22, 2017",
"Sep 23, 2017",
"Sep 24, 2017",
"Sep 25, 2017",
"Sep 26, 2017",
"Sep 27, 2017",
"Sep 28, 2017",
"Sep 29, 2017",
"Sep 30, 2017",
"Oct 1, 2017",
"Oct 2, 2017",
"Oct 3, 2017",28.36
"Oct 4, 2017",
"Oct 5, 2017",29.63
"Oct 6, 2017",
"Oct 7, 2017",28.495
"Oct 8, 2017",
"Oct 9, 2017",
"Oct 10, 2017",28.025
"Oct 11, 2017",29.185
"Oct 12, 2017",29.115
"Oct 13, 2017",30.12
"Oct 14, 2017",
"Oct 15, 2017",
"Oct 16, 2017",
"Oct 17, 2017",
"Oct 18, 2017",
"Oct 19, 2017",
"Oct 20, 2017",
"Oct 21, 2017",29.695
"Oct 22, 2017",
"Oct 23, 2017",
"Oct 24, 2017",
"Oct 25, 2017",
"Oct 26, 2017",
"Oct 27, 2017",
"Oct 28, 2017",30.545
"Oct 29, 2017",
"Oct 30, 2017",32.735
"Oct 31, 2017",
"Nov 1, 2017",30.73
"Nov 2, 2017",
"Nov 3, 2017",
"Nov 4, 2017",
"Nov 5, 2017",
"Nov 6, 2017",
"Nov 7, 2017",
"Nov 8, 2017",30.235
"Nov 9, 2017",
"Nov 10, 2017",31.585
"Nov 11, 2017",
"Nov 12, 2017",
"Nov 13, 2017",28.51
"Nov 14, 2017",
"Nov 15, 2017",
"Nov 16, 2017",
"Nov 17, 2017",
"Nov 18, 2017",
"Nov 19, 2017",
"Nov 20, 2017",
"Nov 21, 2017",
"Nov 22, 2017",
"Nov 23, 2017",
"Nov 24, 2017",30.415
"Nov 25, 2017",
"Nov 26, 2017",
"Nov 27, 2017",
"Nov 28, 2017",
"Nov 29, 2017",
"Nov 30, 2017",29.865
"Dec 1, 2017",
"Dec 2, 2017",
"Dec 3, 2017",
"Dec 4, 2017",
"Dec 5, 2017",
"Dec 6, 2017",
"Dec 7, 2017",
"Dec 8, 2017",
"Dec 9, 2017",
"Dec 10, 2017",
"Dec 11, 2017",
"Dec 12, 2017",31.05
"Dec 13, 2017",
"Dec 14, 2017",
"Dec 15, 2017",30.02
"Dec 16, 2017",
"Dec 17, 2017",
"Dec 18, 2017",
"Dec 19, 2017",
"Dec 20, 2017",
"Dec 21, 2017",
"Dec 22, 2017",
"Dec 23, 2017",
"Dec 24, 2017",
"Dec 25, 2017",
"Dec 26, 2017",
"Dec 27, 2017",
"Dec 28, 2017",
"Dec 29, 2017",
"Dec 30, 2017",
"Dec 31, 2017",30.63
"Jan 1, 2018",
"Jan 2, 2018",
"Jan 3, 2018",
"Jan 4, 2018",
"Jan 5, 2018",
"Jan 6, 2018",
"Jan 7, 2018",31.08
"Jan 8, 2018",
"Jan 9, 2018",
"Jan 10, 2018",
"Jan 11, 2018",
"Jan 12, 2018",
"Jan 13, 2018",
"Jan 14, 2018",
"Jan 15, 2018",
"Jan 16, 2018",
"Jan 17, 2018",
"Jan 18, 2018",
"Jan 19, 2018",
"Jan 20, 2018",
"Jan 21, 2018",
"Jan 22, 2018",
"Jan 23, 2018",
"Jan 24, 2018",
"Jan 25, 2018",29.025
"Jan 26, 2018",
"Jan 27, 2018",
"Jan 28, 2018",
